TreeID,StandID,Plot,Tag,TempID,PrevYear,Species,PrevStatus,PrevDBH,PrevMS,PrevRT,PrevLA,PrevComments
,CH14,1,84,CH1484,2014,TSHE,2,7,1,1,0,rooted on old log; from 427 5.00 m at 300 deg
,CH14,1,85,CH1485,2014,TSHE,2,6.1,1,1,0,rooted on old log; from 427 5.00 m at 325 deg
,CH14,1,86,CH1486,2014,TSHE,2,6.8,1,1,0,on nurse log; from 905 3.60 m at 165 deg
,CH14,2,86,CH1486,2014,TSHE,2,6.8,1,1,0,on nurse log; from 905 3.60 m at 165 deg
CH14000100001,CH14,1,341,CH14341,1978,PSME,6,51.6,,,,
CH14000100002,CH14,1,342,CH14342,1957,TSHE,6,13,,,,
CH14000100003,CH14,1,343,CH14343,2014,PSME,1,75.3,1,1,10,
CH14000100004,CH14,1,344,CH14344,1986,PSME,6,70.9,,,,
CH14000100005,CH14,1,345,CH14345,1978,TSHE,6,5.1,,,,
CH14000100006,CH14,1,346,CH14346,1978,PSME,6,34.5,,,,
CH14000100007,CH14,1,347,CH14347,1978,PSME,6,52.1,,,,
CH14000100008,CH14,1,348,CH14348,2014,TSHE,1,102.7,1,1,5,
CH14000100009,CH14,1,349,CH14349,1978,PSME,6,53.3,,,,
CH14000100010,CH14,1,350,CH14350,2014,TSHE,1,45.5,1,1,100,
CH14000100011,CH14,1,351,CH14351,1986,TSHE,6,15.5,,,,
CH14000100012,CH14,1,352,CH14352,1984,PSME,6,46.7,,,,
CH14000100013,CH14,1,353,CH14353,2014,PSME,1,69.7,1,1,0,nnt
CH14000100014,CH14,1,354,CH14354,1978,PSME,6,52.1,,,,
CH14000100015,CH14,1,355,CH14355,2014,PSME,1,96.3,1,1,0,
CH14000100016,CH14,1,356,CH14356,2014,TSHE,1,43.4,1,1,0,
CH14000100017,CH14,1,357,CH14357,2014,PSME,1,81.9,1,1,0,
CH14000100018,CH14,1,358,CH14358,2014,TSHE,1,30.6,1,1,0,
CH14000100019,CH14,1,359,CH14359,1983,PSME,6,44.2,,,,
CH14000100020,CH14,1,360,CH14360,2014,PSME,6,70.5,,,,
CH14000100021,CH14,1,361,CH14361,1978,PSME,6,52.3,,,,
CH14000100022,CH14,1,362,CH14362,1984,TSHE,6,74.9,,,,
CH14000100023,CH14,1,363,CH14363,1978,PSME,6,61.5,,,,
CH14000100024,CH14,1,364,CH14364,2014,TSHE,1,39.3,1,1,5,
CH14000100025,CH14,1,365,CH14365,2014,TSHE,1,81.3,1,1,0,
CH14000100026,CH14,1,366,CH14366,2014,TSHE,1,16.8,1,1,0,
CH14000100027,CH14,1,367,CH14367,2014,PSME,1,77.6,1,1,0,
CH14000100028,CH14,1,368,CH14368,2014,PSME,1,77,1,1,0,
CH14000100029,CH14,1,369,CH14369,1978,TSHE,6,73.7,,,,
CH14000100030,CH14,1,370,CH14370,2014,PSME,1,70.1,1,1,0,
CH14000100031,CH14,1,371,CH14371,2014,PSME,1,66,1,1,0,stmswp
CH14000100032,CH14,1,372,CH14372,2014,TSHE,1,37,1,1,0,stmswp
CH14000100033,CH14,1,373,CH14373,2014,PSME,1,71.2,1,1,0,
CH14000100034,CH14,1,374,CH14374,2014,PSME,1,67.8,1,1,5,
CH14000100035,CH14,1,375,CH14375,1978,PISI,6,15.5,,,,
CH14000100036,CH14,1,376,CH14376,1978,PSME,6,51.6,,,,
CH14000100037,CH14,1,377,CH14377,2014,PSME,1,51.1,1,1,0,
CH14000100038,CH14,1,378,CH14378,1978,ALRU2,6,29.7,,,,
CH14000100039,CH14,1,379,CH14379,2014,PISI,1,44.6,1,1,5,
CH14000100040,CH14,1,380,CH14380,2014,TSHE,1,17.7,1,1,5,
CH14000100041,CH14,1,381,CH14381,1978,TSHE,6,8.6,,,,
CH14000100042,CH14,1,382,CH14382,2014,TSHE,1,93.8,1,1,5,
CH14000100043,CH14,1,383,CH14383,1978,TSHE,6,27.2,,,,
CH14000100044,CH14,1,384,CH14384,2014,TSHE,1,15.7,1,1,0,
CH14000100045,CH14,1,385,CH14385,1983,TSHE,6,23.1,,,,
CH14000100046,CH14,1,386,CH14386,2014,TSHE,1,55.8,1,1,0,
CH14000100047,CH14,1,387,CH14387,1978,PSME,6,53.3,,,,
CH14000100048,CH14,1,388,CH14388,1946,TSHE,6,17.8,,,,
CH14000100049,CH14,1,389,CH14389,2014,PSME,1,77.4,1,1,0,
CH14000100050,CH14,1,390,CH14390,1983,PSME,6,46.7,,,,
CH14000100051,CH14,1,391,CH14391,2014,TSHE,1,23.5,1,1,10,
CH14000100052,CH14,1,392,CH14392,2014,TSHE,1,37,1,1,0,
CH14000100053,CH14,1,393,CH14393,1999,TSHE,6,10.5,,,,
CH14000100054,CH14,1,394,CH14394,2014,PSME,1,100.5,1,1,0,
CH14000100055,CH14,1,395,CH14395,2014,PSME,1,85.4,1,1,5,
CH14000100056,CH14,1,396,CH14396,2014,TSHE,1,38.2,1,1,5,
CH14000100057,CH14,1,397,CH14397,2014,TSHE,1,29.5,1,1,0,
CH14000100058,CH14,1,398,CH14398,1946,TSHE,6,10.7,,,,
CH14000100059,CH14,1,399,CH14399,1951,ALRU2,6,41.1,,,,
CH14000100060,CH14,1,400,CH14400,1978,ALRU2,6,41.1,,,,
CH14000100061,CH14,1,401,CH14401,1985,TSHE,6,24.9,,,,
CH14000100062,CH14,1,402,CH14402,2014,TSHE,1,60,1,1,0,tag replaced
CH14000100063,CH14,1,403,CH14403,2014,PSME,1,113.5,1,1,0,
CH14000100064,CH14,1,404,CH14404,1978,PISI,6,16,,,,
CH14000100065,CH14,1,405,CH14405,1984,PSME,6,71.1,,,,
CH14000100066,CH14,1,406,CH14406,2009,TSHE,6,21.1,,,,
CH14000100067,CH14,1,407,CH14407,1984,PSME,6,72.4,,,,
CH14000100068,CH14,1,408,CH14408,1999,TSHE,6,65.9,,,,
CH14000100069,CH14,1,409,CH14409,1978,PSME,6,78.2,,,,
CH14000100070,CH14,1,410,CH14410,1986,TSHE,6,6.6,,,,
CH14000100071,CH14,1,411,CH14411,2004,TSHE,6,58.8,,,,
CH14000100072,CH14,1,412,CH14412,1957,TSHE,6,7.4,,,,
CH14000100073,CH14,1,413,CH14413,2014,TSHE,1,17.3,1,1,0,
CH14000100074,CH14,1,414,CH14414,1978,PSME,6,49.3,,,,
CH14000100075,CH14,1,415,CH14415,1978,PSME,6,42.4,,,,
CH14000100076,CH14,1,416,CH14416,1978,PISI,6,17.3,,,,
CH14000100077,CH14,1,417,CH14417,1986,PSME,6,51.3,,,,
CH14000100078,CH14,1,418,CH14418,1984,TSHE,6,40.1,,,,
CH14000100079,CH14,1,419,CH14419,2009,PSME,6,97.9,,,,
CH14000100080,CH14,1,420,CH14420,1978,PSME,6,43.4,,,,
CH14000100081,CH14,1,421,CH14421,2014,TSHE,1,50.8,1,1,0,
CH14000100082,CH14,1,422,CH14422,2014,PSME,1,76,1,1,0,dbh= 76.0
CH14000100083,CH14,1,423,CH14423,2014,TSHE,1,13.5,1,1,0,
CH14000100084,CH14,1,424,CH14424,2014,TSHE,6,27.3,,,,
CH14000100085,CH14,1,425,CH14425,2009,TSHE,6,17.9,,,,
CH14000100086,CH14,1,426,CH14426,2014,PSME,1,71.8,1,1,0,"burl, pitch"
CH14000100087,CH14,1,427,CH14427,2014,TSHE,1,19.2,1,1,0,
CH14000100088,CH14,1,428,CH14428,1978,TSHE,6,21.1,,,,
CH14000100089,CH14,1,429,CH14429,1978,TSHE,6,5.1,,,,
CH14000100090,CH14,1,430,CH14430,2009,TSHE,6,31.8,,,,
CH14000100091,CH14,1,431,CH14431,1978,PSME,6,45.5,,,,
CH14000100092,CH14,1,432,CH14432,2014,TSHE,6,20.3,,,,
CH14000100093,CH14,1,433,CH14433,1984,PSME,6,71.1,,,,/m 1997
CH14000100094,CH14,1,434,CH14434,1989,TSHE,6,17.8,,,,"change number from 6234 to 434, dead '89"
CH14000100095,CH14,1,435,CH14435,2014,PSME,1,83.4,1,1,0,stmswp
CH14000100096,CH14,1,436,CH14436,2009,TSHE,6,45.6,,,,
CH14000100097,CH14,1,437,CH14437,1978,PSME,6,71.1,,,,
CH14000100098,CH14,1,438,CH14438,2009,TSHE,6,22.9,,,,"did not find tag, but right in # sequence"
CH14000100099,CH14,1,439,CH14439,1978,PSME,6,61.5,,,,
CH14000100100,CH14,1,440,CH14440,1978,TSHE,6,5.3,,,,
CH14000100202,CH14,1,441,CH14441,1994,TSHE,6,7.6,,,,
CH14000100203,CH14,1,442,CH14442,2004,TSHE,6,6.8,,,,flat top
